plot,date,time,temp,rec_time
A,180515,1041,23.6,38460
A,180515,1056,24.2,39360
A,180515,1111,24.8,40260
A,180515,1126,25.5,41160
A,180515,1141,26.2,42060
A,180515,1156,27.0,42960
A,180515,1211,28.0,43860
A,180515,1226,28.9,44760
A,180515,1241,29.4,45660
A,180515,1256,29.9,46560
A,180515,1311,30.3,47460
A,180515,1326,30.8,48360
A,180515,1341,31.1,49260
A,180515,1356,30.0,50160
A,180515,1411,30.4,51060
A,180515,1426,31.4,51960
A,180515,1441,31.5,52860
A,180515,1456,31.7,53760
A,180515,1511,32.1,54660
A,180515,1526,32.1,55560
A,180515,1541,32.2,56460
A,180515,1556,32.4,57360
A,180515,1611,32.2,58260
A,180515,1626,32.3,59160
A,180515,1641,32.2,60060
A,180515,1656,32.3,60960
A,180515,1711,32.3,61860
A,180515,1726,32.3,62760
A,180515,1741,32.1,63660
A,180515,1756,32.0,64560
A,180515,1811,31.7,65460
A,180515,1826,30.9,66360
A,180515,1841,30.9,67260
A,180515,1856,30.8,68160
A,180515,1911,30.5,69060
A,180515,1926,30.2,69960
A,180515,1941,30.0,70860
A,180515,1956,29.7,71760
A,180515,2011,29.0,72660
A,180515,2026,28.4,73560
A,180515,2041,27.3,74460
A,180515,2056,26.2,75360
A,180515,2111,25.9,76260
A,180515,2126,25.2,77160
A,180515,2141,24.2,78060
A,180515,2156,23.8,78960
A,180515,2211,23.6,79860
A,180515,2226,22.9,80760
A,180515,2241,24.2,81660
A,180515,2256,24.0,82560
A,180515,2311,23.6,83460
A,180515,2326,23.3,84360
A,180515,2341,20.4,85260
A,180515,2356,19.9,86160
A,180516,0011,20.0,660
A,180516,0026,19.8,1560
A,180516,0041,19.7,2460
A,180516,0056,19.7,3360
A,180516,0111,19.6,4260
A,180516,0126,19.6,5160
A,180516,0141,19.5,6060
A,180516,0156,19.5,6960
A,180516,0211,19.3,7860
A,180516,0226,19.1,8760
A,180516,0241,19.2,9660
A,180516,0256,19.4,10560
A,180516,0311,19.5,11460
A,180516,0326,19.5,12360
A,180516,0341,19.6,13260
A,180516,0356,19.7,14160
A,180516,0411,19.6,15060
A,180516,0426,19.6,15960
A,180516,0441,19.6,16860
A,180516,0456,19.6,17760
A,180516,0511,19.7,18660
A,180516,0526,19.6,19560
A,180516,0541,19.7,20460
A,180516,0556,19.8,21360
A,180516,0611,19.7,22260
A,180516,0626,19.2,23160
A,180516,0641,19.3,24060
A,180516,0656,19.4,24960
A,180516,0711,19.3,25860
A,180516,0726,19.4,26760
A,180516,0741,19.3,27660
A,180516,0756,19.3,28560
A,180516,0811,19.3,29460
A,180516,0826,19.4,30360
A,180516,0841,19.6,31260
A,180516,0856,19.7,32160
A,180516,0911,19.8,33060
