cat_1,cat_2,plot_pi,date_pi,time_pi,freq_pi,all_pi,cat_1_type,cat_2_type
26,35,0.270412919,0.066251353,0.297285589,0.312816617,0.001666042,ac,ac
26,39,0.117948613,0,0.465844311,0.320876629,0,ac,ac
26,4,0.849056854,0.392503331,0.788016857,0.589526573,0.15481713,ac,vi
26,45,0.196648403,0.095279118,0.56939023,0.893417326,0.009531309,ac,vi
26,5,0.176659073,0.035962052,0.497519839,0.71624076,0.002263861,ac,vi
26,6,0.55647775,0.3568237,0.516391472,0.539386161,0.055307033,ac,ac
26,7,0.987962252,0.192277186,0.41575571,0.44495374,0.035141573,ac,ac
26,9,0.652324293,0.586744562,0.679254824,0.656969844,0.170801151,ac,vi
3,31,0.433462546,0.624294105,0.517926674,0.932551916,0.130701963,vi,ac
3,33,0.77321903,0.399757501,0.409805171,0.805859302,0.10207886,vi,ac
3,35,0.709367961,0.418555622,0.27168101,0.443167433,0.03574801,vi,ac
3,39,0.953832096,0.37756793,0.594778033,0.358033528,0.07669122,vi,ac
3,4,0.543866474,0.35583952,0.870723673,0.777930104,0.131089346,vi,vi
3,45,0.769548652,0.193166159,0.659109814,0.960543194,0.094111307,vi,vi
3,5,0.921590846,0.971474289,0.751404029,0.970690359,0.653015814,vi,vi
3,6,0.888015735,0.702369884,0.541011849,0.542452138,0.183043683,vi,ac
3,7,0.28624303,0.345428041,0.410493845,0.577813555,0.023452378,vi,ac
3,9,0.730381116,0.247336357,0.712626093,0.934582492,0.120314191,vi,vi
31,33,0.655276658,0.574609563,0.86325771,0.742877972,0.241465726,ac,ac
31,35,0.173186912,0.379841859,0.727395792,0.529644382,0.025343877,ac,ac
31,39,0.566663151,0.134462206,0.134610568,0.468222147,0.004802378,ac,ac
31,4,0.890301895,0.751744641,0.435148059,0.92831018,0.270357115,ac,vi
31,45,0.195042424,0.264809558,0.463208661,0.882101163,0.021103661,ac,vi
31,5,0.176788412,0.5624072,0.237717995,0.914276954,0.021609489,ac,vi
31,6,0.695728832,0.788982134,0.842847111,0.657494976,0.304192437,ac,ac
31,7,0.71668011,0.51820888,0.890603317,0.725403912,0.239935442,ac,ac
31,9,0.771641997,0.534070184,0.718223944,0.902910571,0.267250672,ac,vi
33,35,0.648554594,0.326021094,0.733876948,0.284333456,0.044120807,ac,ac
33,39,0.829257002,0.069959861,0.171075962,0.31151,0.003091712,ac,ac
33,4,0.499970161,0.602531241,0.381200888,0.552441817,0.063440136,ac,vi
33,45,0.218991667,0.371795509,0.388451352,0.858467121,0.027151388,ac,vi
33,5,0.530236088,0.288569553,0.230147125,0.683918057,0.024084044,ac,vi
33,6,0.806587975,0.379192801,0.758447129,0.542079445,0.125747708,ac,ac
33,7,0.253029459,0.215776899,0.859721733,0.418887773,0.019662178,ac,ac
33,9,0.504040564,0.129713425,0.675266797,0.635361046,0.028050874,ac,vi
35,39,0.520831483,0.35189745,0.002933361,0.7192049,0.000386662,ac,ac
35,4,0.314963603,0.655281033,0.262508621,0.632118712,0.034247603,ac,vi
35,45,0.335578789,0.198506054,0.43418769,0.374726942,0.010838288,ac,vi
35,5,0.780082143,0.343289805,0.042828162,0.445337316,0.005107634,ac,vi
35,6,0.749143474,0.652056732,0.79631932,0.690044336,0.268419852,ac,ac
35,7,0.354651316,0.786625379,0.910622105,0.83498678,0.212122784,ac,ac
35,9,0.316267821,0.363312057,0.728854821,0.478001804,0.040031824,ac,vi
39,4,0.565502888,0.031237642,0.760562532,0.564554886,0.007584975,ac,vi
39,45,0.694063714,0.010999385,0.737396378,0.35545913,0.002001052,ac,vi
39,5,0.769419866,0.435575731,0.954920334,0.326311853,0.104430428,ac,vi
39,6,0.845375466,0.188293458,0.05245272,0.780014314,0.006512616,ac,ac
39,7,0.222698749,0.025305758,0.017361783,0.723945534,7.08E-05,ac,ac
39,9,0.754855241,0,0.44772622,0.339646957,0,ac,vi
4,45,0.490476479,0.227398915,0.835649303,0.719254813,0.06703682,vi,vi
4,5,0.441184686,0.224251517,0.807102959,0.779950721,0.062280476,vi,vi
4,6,0.780478518,0.61655917,0.490984662,0.706559418,0.166936895,vi,ac
4,7,0.896360182,0.700754205,0.345180159,0.784852036,0.170169563,vi,ac
4,9,0.915743505,0.2655939,0.740714774,0.803264236,0.144710946,vi,vi
45,5,0.834020578,0.116584701,0.713966153,0.906060935,0.062900393,vi,vi
45,6,0.614783101,0.42204744,0.458150143,0.519086444,0.06170647,vi,ac
45,7,0.301066289,0.303643018,0.417410014,0.514421428,0.019629414,vi,ac
45,9,0.765438209,0.138106243,0.733914572,0.870311666,0.067521762,vi,vi
5,6,0.787155247,0.656340297,0.174739881,0.489308793,0.044173776,vi,ac
5,7,0.305931547,0.207307076,0.102398672,0.558952033,0.003630005,vi,ac
5,9,0.629210699,0.305880175,0.510499089,0.982321981,0.096515322,vi,vi
6,7,0.635888527,0.732988035,0.902010336,0.754585695,0.317247316,ac,ac
6,9,0.834391882,0.699127457,0.788201632,0.512439411,0.235616815,ac,vi
7,9,0.720214044,0.359310148,0.770369411,0.570623693,0.113757463,ac,vi
