glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_noise_30m,t_noise_30m,ent_noise_30m
4,180607,C,4,19,180607_C19_16_2_wavchunk11_f,180607_C19_16_2_wavchunk11_f,329.0370417,371.4260208,91109.03704,91151.42602,20.75,4899.164044,1078.125,12.78368564,0,0,0,0
4,180607,C,5,19,180607_C19_16_2_wavchunk12_f,180607_C19_16_2_wavchunk12_f,174.0767083,175.4129792,91554.07671,91555.41298,20.7,4825.457711,1218.75,8.231864174,0,0,0,0
4,180607,C,6,19,180607_C19_16_2_wavchunk12_f,180607_C19_16_2_wavchunk12_f,287.4026042,361.7675417,91667.4026,91741.76754,20.7,5007.006237,1195.3125,14.13735412,0,0,0,0
4,180607,C,7,19,180607_C19_16_2_wavchunk23_f,180607_C19_16_2_wavchunk23_f,235.6123542,236.9265,98215.61235,98216.9265,20.1,5643.540582,1171.875,12.17520887,0,2,2,0.693147181
4,180607,C,8,19,180607_C19_16_2_wavchunk23_f,180607_C19_16_2_wavchunk23_f,573.9676042,578.4612083,98553.9676,98558.46121,20.1,5378.622201,867.1875,11.90272101,0,2,2,0.693147181
4,180607,C,9,19,180607_C19_16_2_wavchunk24_f,180607_C19_16_2_wavchunk24_f,282.785125,283.8458542,98862.78513,98863.84585,20.1,4274.943602,1125,11.3131948,0,3,2,0.636514168
4,180607,C,10,19,180607_C19_16_2_wavchunk24_f,180607_C19_16_2_wavchunk24_f,522.23175,523.2405833,99102.23175,99103.24058,20.1,4426.823233,1125,9.912644818,0,3,2,0.636514168
4,180607,C,0,22,180607_C22_16_2_wavchunk2_f,180607_C22_16_2_wavchunk2_f,55.11958333,56.29820833,85195.11958,85196.29821,21.6,4453.705062,1265.625,16.12047937,0,3,2,0.636514168
4,180607,D,0,6,180607_D06_16_1_wavchunk30_f,180607_D06_16_1_wavchunk30_f,169.7440208,186.6156042,75349.74402,75366.6156,25.5,2450.072855,1148.4375,14.28363261,0,1,1,0
4,180607,D,1,6,180607_D06_16_2_wavchunk0_f,180607_D06_16_2_wavchunk0_f,15.68729167,16.79079167,85995.68729,85996.79079,21.6,2700.232321,609.375,13.59311282,0,1,1,0
4,180607,D,2,6,180607_D06_16_1_wavchunk48_f,180607_D06_16_1_wavchunk48_f,310.2016042,314.9786042,86290.2016,86294.9786,21.6,2459.824575,820.3125,11.57094502,0,1,1,0
4,180607,D,3,6,180607_D06_16_1_wavchunk48_f,180607_D06_16_1_wavchunk48_f,464.3916875,465.4507708,86444.39169,86445.45077,21.3,1989.744997,984.375,5.665276576,0,1,1,0
4,180607,D,4,6,180607_D06_16_2_wavchunk11_f,180607_D06_16_2_wavchunk11_f,549.4977083,550.6176667,93129.49771,93130.61767,20.3,3957.856887,1218.75,10.71468433,0,0,0,0
4,180607,D,0,20,180607_D20_16_2_wavchunk21_f,180607_D20_16_2_wavchunk21_f,385.6339375,387.0178958,99385.63394,99387.0179,19.7,6523.346575,281.25,15.89667163,0,2,2,0.693147181
4,180607,D,1,20,180607_D20_16_2_wavchunk21_f,180607_D20_16_2_wavchunk21_f,453.1741458,454.559875,99453.17415,99454.55988,19.7,6332.881097,328.125,18.04077215,0,2,2,0.693147181
4,180607,D,0,21,180607_D21_16_2_wavchunk5_f,180607_D21_16_2_wavchunk5_f,579.7265625,581.1751042,89979.72656,89981.1751,21.1,4555.739998,1359.375,8.974543363,0,0,0,0
4,180607,D,1,21,180607_D21_16_2_wavchunk6_f,180607_D21_16_2_wavchunk6_f,355.7219583,365.2623125,90355.72196,90365.26231,21,4844.916199,1171.875,11.48066303,0,0,0,0
4,180607,D,2,21,180607_D21_16_2_wavchunk14_f,180607_D21_16_2_wavchunk14_f,568.7615,569.9512708,95368.7615,95369.95127,19.9,4556.573056,937.5,8.404832779,0,1,1,0
4,180607,D,0,22,180607_D22_16_2_wavchunk9_f,180607_D22_16_2_wavchunk9_f,438.4899167,439.8786458,92538.48992,92539.87865,20.4,5488.409692,984.375,14.40187224,0,0,0,0
4,180607,D,1,22,180607_D22_16_2_wavchunk10_f,180607_D22_16_2_wavchunk10_f,21.8989375,22.9114375,92721.89894,92722.91144,20.4,5041.303837,1078.125,13.82716049,0,0,0,0
4,180607,D,0,25,180607_D25_16_2_wavchunk23_f,180607_D25_16_2_wavchunk23_f,309.0313542,310.0674167,100809.0314,100810.0674,19.7,5357.702793,468.75,11.58254575,0,3,2,0.636514168
4,180607,D,1,25,180607_D25_16_2_wavchunk23_f,180607_D25_16_2_wavchunk23_f,462.924625,464.0275625,100962.9246,100964.0276,19.7,4806.612545,1171.875,7.253357511,0,4,2,0.693147181
4,180607,D,2,25,180607_D25_16_2_wavchunk23_f,180607_D25_16_2_wavchunk23_f,524.5162917,568.9515417,101024.5163,101068.9515,19.7,5135.973458,1171.875,10.4,0,4,2,0.693147181
4,180607,D,3,25,180607_D25_16_2_wavchunk25_f,180607_D25_16_2_wavchunk25_f,60.99477083,64.8266875,101760.9948,101764.8267,19.5,3143.953059,609.375,15.65787542,0,5,2,0.673011667
4,180607,E,0,3,180607_E03_160_wavchunk21_f,180607_E03_160_wavchunk21_f,239.7753125,254.9052917,68759.77531,68774.90529,26.5,1071.929833,492.1875,11.87876049,0,3,2,0.636514168
4,180607,E,1,3,180607_E03_160_wavchunk21_f,180607_E03_160_wavchunk21_f,328.1155625,329.665125,68848.11556,68849.66513,26.5,4004.36969,3984.375,22.58702053,0,3,2,0.636514168
4,180607,E,0,5,180607_E05_160_wavchunk31_f,180607_E05_160_wavchunk31_f,287.197,288.4530833,74807.197,74808.45308,24.2,3536.614344,843.75,8.757380747,0,10,4,1.193549604
