glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_hs_30m,min_diff_hs,n_cs_30m,min_diff_cs
3,180531,E,0.0,9,180531_E09_160_wavchunk33_f,180531_E09_160_wavchunk33_f,142.765125,143.9282917,77302.76513,77303.92829,25.1,2172.7664131988467,1312.5,5.158332139274967,0,0,,0,2784.139750000002
3,180531,E,1.0,9,180531_E09_160_wavchunk34_f,180531_E09_160_wavchunk34_f,472.7212292,501.4242708,78232.72123,78261.42427,25.0,2514.841149898996,1066.40625,10.38786986794162,0,0,,0,1854.1836500000063
3,180531,E,2.0,9,180531_E09_160_wavchunk35_f,180531_E09_160_wavchunk35_f,52.221375,59.26960417,78412.22138,78419.2696,25.0,1500.222769284179,937.5,2.4119533570784624,0,0,,1,1674.6834999999992
3,180531,E,3.0,9,180531_E09_160_wavchunk35_f,180531_E09_160_wavchunk35_f,478.1903958,480.4906042,78838.1904,78840.4906,25.0,1982.705998557666,937.5,7.825378136038402,0,0,,2,1248.714479999995
3,180531,E,0.0,17,180531_E17_160_wavchunk37_f,180531_E17_160_wavchunk37_f,346.904875,360.8674792,80086.90488,80100.86748,25.0,2498.626644194374,1453.125,3.692023260688237,0,0,,2,1248.714479999995
3,180531,E,1.0,17,180531_E17_160_wavchunk38_f,180531_E17_160_wavchunk38_f,0.873895833,75.55958333,80340.8739,80415.55958,24.899999999999995,3058.0332137580654,1312.5,3.26225469373885,0,0,,1,1502.6834999999992
3,180531,E,2.0,17,180531_E17_161_wavchunk18_f,180531_E17_161_wavchunk18_f,157.4792917,158.5997083,97297.47929,97298.59971,24.6,4236.709128975761,914.0625,6.247559547051933,0,0,,0,18459.288889999996
3,180604,A,0.0,12,180604_A12_08_wavchunk31_f,180604_A12_08_wavchunk31_f,456.8783333,458.5512917,46476.87833,46478.55129,24.5,2581.052826481088,703.125,6.575096820791253,0,0,,0,
3,180604,A,1.0,12,180604_A12_160_wavchunk39_f,180604_A12_160_wavchunk41_f,4.386145833,588.833,85199.245,85988.37981,19.93333333333332,2346.294398569208,1218.75,5.677208258609534,0,0,,0,
3,180604,A,2.0,12,180604_A12_160_wavchunk41_f,180604_A12_160_wavchunk41_f,188.6717917,313.6977917,86048.67179,86173.69779,19.8,2743.207448504513,1054.6875,5.161637206801533,0,0,,0,
3,180604,A,3.0,12,180604_A12_160_wavchunk41_f,180604_A12_160_wavchunk41_f,385.6754167,574.0762083,86245.67542,86434.07621,19.766666666666666,2654.903321223969,1359.375,5.509799982781875,0,0,,0,
3,180604,A,4.0,12,180604_A12_160_wavchunk42_f,180604_A12_160_wavchunk42_f,37.225375,66.42166667,86497.22538,86526.42167,19.7,2768.3653376136917,1066.40625,5.8380415164788335,0,0,,0,
3,180604,A,5.0,12,180604_A12_160_wavchunk42_f,180604_A12_160_wavchunk42_f,143.6463125,186.5120833,86603.64631,86646.51208,19.7,2420.350078688826,1078.125,4.017453603990671,0,0,,0,
3,180604,A,6.0,12,180604_A12_160_wavchunk43_f,180604_A12_160_wavchunk43_f,212.9165,226.5604583,87272.9165,87286.56046,19.7,1966.172453050855,1078.125,3.691781283563889,0,0,,0,
3,180604,A,7.0,12,180604_A12_160_wavchunk43_f,180604_A12_160_wavchunk43_f,293.1734167,331.9336042,87353.17342,87391.9336,19.7,2413.244535002654,1125.0,4.805908048195869,0,0,,0,
3,180604,A,8.0,12,180604_A12_160_wavchunk44_f,180604_A12_160_wavchunk44_f,191.1030417,197.7012292,87851.10304,87857.70123,19.5,2109.538590236205,1125.0,9.19475774305184,0,0,,0,
3,180604,A,9.0,12,180604_A12_160_wavchunk44_f,180604_A12_160_wavchunk45_f,0.581291667,581.5372292,87921.4271,88298.56373,19.5,2150.793883404781,1171.875,4.740623688303993,0,0,,0,
3,180604,A,10.0,12,180604_A12_160_wavchunk45_f,180604_A12_160_wavchunk45_f,166.78,376.3899583,88426.78,88636.38996,19.1,2247.850803262857,1078.125,5.060256782085774,0,0,,0,
3,180604,A,11.0,12,180604_A12_160_wavchunk45_f,180604_A12_160_wavchunk46_f,1.204520833,599.4268333,88852.79263,88979.68415,19.1,2259.380386919169,1171.875,4.846343156433394,0,0,,0,
3,180604,A,12.0,12,180604_A12_160_wavchunk46_f,180604_A12_160_wavchunk47_f,11.82114583,573.4470625,89045.56931,89720.21206,19.10000000000001,2439.357335275862,1078.125,5.350973030603748,0,0,,0,
3,180604,A,13.0,12,180604_A12_160_wavchunk47_f,180604_A12_161_wavchunk0_f,0.331145833,570.4555833,89782.3271,90332.32473,19.066666666666677,2515.196838337634,1078.125,5.34331927091225,0,0,,0,
3,180604,A,14.0,12,180604_A12_161_wavchunk0_f,180604_A12_161_wavchunk1_f,0.644541667,599.5712083,90481.37646,90708.24892,18.89999999999999,3002.286937349499,1300.78125,4.426666928457872,0,0,,0,
3,180604,E,0.0,21,180604_E21_160_wavchunk9_f,180604_E21_160_wavchunk9_f,487.8632083,488.8937708,62827.86321,62828.89377,25.4,4779.998693708137,1265.625,7.76259400016172,0,0,,0,
3,180604,E,1.0,21,180604_E21_160_wavchunk9_f,180604_E21_160_wavchunk9_f,549.4462292,554.9371875,62889.44623,62894.93719,25.4,4147.60071644794,984.375,11.068966205807037,0,0,,0,
3,180604,E,2.0,21,180604_E21_160_wavchunk10_f,180604_E21_160_wavchunk10_f,21.76483333,22.775125,62961.76483,62962.77513,25.4,3274.622648503737,1265.625,9.89792762140427,0,0,,0,
